state,city,popular_destination,latitude,longitude,interest,google_rating,price_fare,place_category,estimated_visits,popularity_score,best_season_to_visit,crowd_level,synthetic_review,sentiment_score,experience_score,item_id
Kerala,Thiruvanthapuram,Kovalam Beach,8.4698623,76.9554858,Natural Landscapes & Wildlife,4.4,0,Wildlife,24255,2.90287981,November to April,High,Kovalam Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697242629,24
Rajasthan,Mount Abu,Nakki Lake,26.2978267,73.0180132,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0,Wildlife,24085,2.901037321,November to April,High,Nakki Lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.696874131,25
Uttarakhand,Auli,Trishul Peak,30.3116666,79.7766666,Natural Landscapes & Wildlife,4.4,0,Wildlife,24079,2.900972292,November to April,High,Trishul Peak is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.696861125,26
West Bengal,Darjeeling,Darjeeling Rock garden,27.0262862,88.236347,Natural Landscapes & Wildlife,5.0,10,Wildlife,5139,3.055697355,November to April,Medium,Darjeeling Rock garden is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.691139471,27
Sikkim,Pelling,Sewaro Rock garden,27.3158029,88.1898361,Natural Landscapes & Wildlife,5.0,20,Wildlife,5110,3.055383048,November to April,Medium,Sewaro Rock garden is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.69107661,28
West Bengal,Darjeeling,Teesta river(rafting),26.57695557,89.01279803,"Adventure & Outdoor Activities, Natural Landscapes & Wildlife",5.0,500,Wildlife,4847,3.052532609,November to April,Medium,Teesta river(rafting) is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.690506522,29
Chhattisgarh,Raipur,Ghatarani waterfalls,20.8280625,82.0598125,Natural Landscapes & Wildlife,4.9,0,Wildlife,27579,3.238905887,November to April,High,Ghatarani waterfalls is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.677781177,30
Tripura,Agartala,Raima valley,23.5638643,91.6760691,Natural Landscapes & Wildlife,4.9,0,Wildlife,27422,3.237204294,November to April,High,Raima valley  is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.677440859,31
Andaman and Nicobar Islands,Baratang Island,Limestone Caves,10.7448873,92.4999918,Natural Landscapes & Wildlife,4.9,0,Wildlife,27414,3.237117589,November to April,High,Limestone Caves is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.677423518,32
Chhattisgarh,Bastar,Chitrakote Falls,19.2071733,81.7000604,Natural Landscapes & Wildlife,4.9,0,Wildlife,27329,3.236196344,November to April,High,Chitrakote Falls is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.677239269,33
Meghalaya,Cherrapunji,Living Root Bridge,25.4670308,91.366216,Natural Landscapes & Wildlife,4.9,0,Wildlife,27302,3.235903714,November to April,High,Living Root Bridge is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.677180743,34
Odisha,Berhampur,Aryapalli beach,19.3149618,84.2332104,Natural Landscapes & Wildlife,4.9,0,Wildlife,27204,3.234841573,November to April,High,Aryapalli beach is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.676968315,35
Uttarakhand,Kedarnath,Chorabari lake,30.066753,79.0192997,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.9,0,Wildlife,27107,3.233790271,November to April,High,Chorabari lake is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.676758054,36
Jharkhand,Ranchi,Dassam falls,23.1462515,85.4672203,Natural Landscapes & Wildlife,4.9,0,Wildlife,26964,3.232240412,November to April,High,Dassam falls  is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.676448082,37
Tamil Nadu,Chennai,Barracuda bay(fishing),13.0826802,80.2707184,"Adventure & Outdoor Activities, Natural Landscapes & Wildlife",4.9,0,Wildlife,26958,3.232175383,November to April,High,Barracuda bay(fishing) is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.676435077,38
Ladakh,Kargil,Drass Valley,34.4100265,75.6602598,Natural Landscapes & Wildlife,4.9,0,Wildlife,26954,3.232132031,November to April,High,Drass Valley is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.676426406,39
Nagaland,Kohima,Mt Japfu,25.5975011,94.0666664,Natural Landscapes & Wildlife,4.9,0,Wildlife,26931,3.231882753,November to April,High,Mt Japfu is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.676376551,40
West Bengal,Siliguri,Jaldapara National Park,26.6905136,89.2805351,Natural Landscapes & Wildlife,4.4,250,Wildlife,5082,2.695079579,November to April,Medium,Jaldapara National Park is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.655682583,41
Andhra Pradesh,Srisailam,Mallela Theertham,15.9128998,79.7399875,Natural Landscapes & Wildlife,4.4,50,Wildlife,5009,2.694288393,November to April,Medium,Mallela Theertham is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.655524345,42
Andhra Pradesh,Visakhapatnam,Kailasagiri,17.7492105,83.3418016,"Adventure & Outdoor Activities, Natural Landscapes & Wildlife",4.4,1100,Wildlife,4987,2.694049953,November to April,Medium,Kailasagiri is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.655476657,43
West Bengal,Sundarbans,Sajnekhali Wildlife Sanctuary,22.1237762,88.8313005,Natural Landscapes & Wildlife,4.4,550,Wildlife,4921,2.693334634,November to April,Medium,Sajnekhali Wildlife Sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.655333593,44
Uttarakhand,Auli,Nanda Devi Biosphere Reserve,30.6587637,79.8386542,Natural Landscapes & Wildlife,4.4,50,Wildlife,4896,2.69306368,November to April,Medium,Nanda Devi Biosphere Reserve is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.655279403,45
Karnataka,Coorg,Brahmagiri Wildlife Sanctuary,12.680643,75.723667,Natural Landscapes & Wildlife,4.4,25,Wildlife,4895,2.693052841,November to April,Medium,Brahmagiri Wildlife Sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.655277235,46
Maharashtra,Satara,Kaas Plateau,17.7208314,73.8237159,Natural Landscapes & Wildlife,4.4,300,Wildlife,4880,2.692890269,November to April,Medium,Kaas Plateau is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.65524472,47
Gujrat,Vadodara,Sayaji Baug Zoo,22.3115,73.19,Natural Landscapes & Wildlife,4.4,20,Wildlife,4875,2.692836078,November to April,Medium,Sayaji Baug Zoo is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.655233882,48
Andhra Pradesh,Visakhapatnam,Rishikonda Beach,17.7825201,83.3851154,"Adventure & Outdoor Activities, Natural Landscapes & Wildlife",4.4,10,Wildlife,4764,2.691633041,November to April,Medium,Rishikonda Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654993275,49
West Bengal,Sundarbans,Bhagatpur crocodile project,21.46,88.18,Natural Landscapes & Wildlife,4.4,50,Wildlife,4706,2.691004427,November to April,Medium,Bhagatpur crocodile project is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654867552,50
Maharastra,Kolhapur,Dajipur Wildlife Sanctuary,16.3837902,73.8633999,Natural Landscapes & Wildlife,4.4,50,Wildlife,4691,2.690841855,November to April,Medium,Dajipur Wildlife Sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654835038,51
Karnataka,Bangalore,Lalbagh Botanical Garden,13.0035068,77.5890953,Natural Landscapes & Wildlife,4.4,20,Wildlife,4567,2.689497922,November to April,Medium,Lalbagh Botanical Garden is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654566251,52
Karnataka,Chikmanglur,Bhadra wildlife sanctuary,11.9661026,75.9833292,Natural Landscapes & Wildlife,4.4,60,Wildlife,4535,2.6891511,November to April,Medium,Bhadra wildlife sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654496887,53
Rajasthan,Udaipur,Saheliyon ki Bari,24.5775547,73.6799021,Natural Landscapes & Wildlife,4.4,50,Wildlife,4483,2.688587516,November to April,Medium,Saheliyon ki Bari is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.65438417,54
Karnataka,Mangalore,Pilikula Nisargadhama zoo,12.9272855,74.8991256,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,80,Wildlife,4461,2.688349076,November to April,Medium,Pilikula Nisargadhama zoo is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654336482,55
West Bengal,Siliguri,Mahananda Wildlife Sanctuary,26.7961932,88.3630076,Natural Landscapes & Wildlife,4.4,500,Wildlife,4452,2.688251532,November to April,Medium,Mahananda Wildlife Sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654316973,56
Karnataka,Coorg,Nagarhole Tiger Reserve,12.4145674,75.7371014,Natural Landscapes & Wildlife,4.4,150,Wildlife,4416,2.687861358,November to April,Medium,Nagarhole Tiger Reserve is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654238938,57
West Bengal,Sundarbans,Sundarbans National Park,21.8842354,88.8853765,Natural Landscapes & Wildlife,4.4,60,Wildlife,4407,2.687763815,November to April,Medium,Sundarbans National Park is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.65421943,58
Uttarakhand,Nainital,Corbett National Park,29.5521551,78.8832107,Natural Landscapes & Wildlife,4.4,560,Wildlife,4349,2.687135201,November to April,Medium,Corbett National Park is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.654093707,59
West Bengal,Darjeeling,Happy valley tea estate,27.051391,88.258613,Sightseeing & Exploration,4.9,100,Urban,5339,2.997864989,October to March,Medium,Happy valley tea estate is a highly recommended urban destination with an excellent overall experience.,0.392,3.637572998,60
Kerala,Munnar,Munnar Tea Gardens,10.1063316,77.1238055,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.3,0,Wildlife,24410,2.844559726,November to April,High,Munnar Tea Gardens is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.635578612,61
Uttar Pradesh,Ayodhya,Gulab bari,26.7798857,82.1575316,Natural Landscapes & Wildlife,4.3,0,Wildlife,24358,2.843996142,November to April,High,Gulab bari is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.635465895,62
Goa,Goa,Colva Beach,15.0099648,74.0232186,Natural Landscapes & Wildlife,4.3,0,Wildlife,24328,2.843670997,November to April,High,Colva Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.635400866,63
Uttarakhand,Auli,Chattrakund Lake,30.066753,79.0192997,Natural Landscapes & Wildlife,4.3,0,Wildlife,24287,2.843226632,November to April,High,Chattrakund Lake  is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.635311993,64
Meghalaya,Cherrapunji,Mawsmai Eco park and falls,25.2457155,91.7375719,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.3,0,Wildlife,24287,2.843226632,November to April,High,Mawsmai Eco park and falls is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.635311993,65
Telangana,Hyderabad,Hussain Sagar Lake,17.383309,78.4010528,Natural Landscapes & Wildlife,4.3,0,Wildlife,24195,2.84222952,November to April,High,Hussain Sagar Lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.635112571,66
Tripura,Agartala,Chittagong hills,23.5638643,91.6760691,Natural Landscapes & Wildlife,4.3,0,Wildlife,24193,2.842207844,November to April,High,Chittagong hills is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.635108235,67
Odisha,Keonjhar,Sanaghagara Waterfall,21.632772,85.7692277,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",4.3,0,Wildlife,24138,2.841611744,November to April,High,Sanaghagara Waterfall is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.634989016,68
Andhra Pradesh,Kurnool,Rollapadu wildlife sanctuary,15.7389773,78.3650976,Natural Landscapes & Wildlife,4.3,0,Wildlife,24058,2.840744691,November to April,High,Rollapadu wildlife sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.634815605,69
Maharastra,Mumbai,Chowpatty Beach,18.9518622,72.8165592,Natural Landscapes & Wildlife,4.3,0,Wildlife,24000,2.840116077,November to April,High,Chowpatty Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.634689882,70
Arunachal Pradesh,Tawang,Madhuri lake,28.2179994,94.7277528,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.3,0,Wildlife,23987,2.839975181,November to April,High,Madhuri lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.634661703,71
Uttarakhand,Ranikhet,Bhalu dam,29.6204144,79.4775733,Natural Landscapes & Wildlife,4.3,0,Wildlife,23947,2.839541654,November to April,High,Bhalu dam is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.634574997,72
Uttarakhand,Mussoorie,Jabarkhet nature reserve,30.4542004,78.1160948,Natural Landscapes & Wildlife,4.3,0,Wildlife,23848,2.838468675,November to April,High,Jabarkhet nature reserve is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.634360402,73
Odisha,Keonjhar,Gundichaghagi waterfall,21.3482992,85.5816847,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",4.3,0,Wildlife,23746,2.837363182,November to April,High,Gundichaghagi waterfall is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.634139303,74
Tripura,Agartala,Sepahijala wildlife sanctuary,23.6148176,91.3276422,Natural Landscapes & Wildlife,4.9,300,Wildlife,5189,2.996239263,November to April,Medium,Sepahijala wildlife sanctuary is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.629247853,75
Tripura,Agartala,Gondacherra wildlife sanctuary,23.5638643,91.6760691,Natural Landscapes & Wildlife,4.9,500,Wildlife,5062,2.994862816,November to April,Medium,Gondacherra wildlife sanctuary is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.628972563,76
Jharkhand,Ranchi,Biodiversity park,23.2547338,85.3468934,Natural Landscapes & Wildlife,4.9,70,Wildlife,5020,2.994407613,November to April,Medium,Biodiversity park is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.628881523,77
Odisha,Balasore,Kuldiha Wildlife sanctuary,21.4092041,86.18,Natural Landscapes & Wildlife,4.9,40,Wildlife,5004,2.994234202,November to April,Medium,Kuldiha Wildlife sanctuary is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.62884684,78
Ladakh,Leh,Pangong Tso,33.7595131,78.6674404,Natural Landscapes & Wildlife,4.9,20,Wildlife,4863,2.99270602,November to April,Medium,Pangong Tso is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.628541204,79
Odisha,Cuttack,Deer Park,20.4883078,85.8829895,Natural Landscapes & Wildlife,4.9,25,Wildlife,4764,2.991633041,November to April,Medium,Deer Park is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.628326608,80
West Bengal,Darjeeling,Kanchenjunga peak,27.7024914,88.147535,Natural Landscapes & Wildlife,4.9,20,Wildlife,4736,2.991329572,November to April,Medium,Kanchenjunga peak is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.628265914,81
Jharkhand,Ranchi,Jonha falls,23.3423069,85.6102055,Natural Landscapes & Wildlife,4.8,0,Wildlife,26924,3.171806885,November to April,High,Jonha falls is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.614361377,82
Andaman and Nicobar Islands,Baratang Island,Coral gazing at Mohwa Dera,10.7448873,92.4999918,Natural Landscapes & Wildlife,4.8,0,Wildlife,26799,3.170452114,November to April,High,Coral gazing at Mohwa Dera is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.614090423,83
Arunachal Pradesh,Tawang,Nuranang waterfalls,28.2179994,94.7277528,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities, Sightseeing & Exploration",4.8,0,Wildlife,26734,3.169747633,November to April,High,Nuranang waterfalls is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.613949527,84
Sikkim,Pelling,Kanchenjunga waterfalls and national park,27.3586875,88.1988125,Natural Landscapes & Wildlife,4.8,0,Wildlife,26704,3.169422488,November to April,High,Kanchenjunga waterfalls and national park is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.613884498,85
Tamil Nadu,Kanyakumari,Courtallam falls,8.0809502,77.5508165,Natural Landscapes & Wildlife,4.8,0,Wildlife,26670,3.16905399,November to April,High,Courtallam falls is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.613810798,86
Nagaland,Kohima,Ntangki national park,25.5496528,93.5205641,Natural Landscapes & Wildlife,4.8,0,Wildlife,26622,3.168533758,November to April,High,Ntangki national park is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.613706752,87
Uttarakhand,Mussoorie,Mussoorie lake,30.4597892,78.0643723,Natural Landscapes & Wildlife,4.8,0,Wildlife,26617,3.168479567,November to April,High,Mussoorie lake is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.613695913,88
Karanataka,Hampi,Mathanga Hill,15.3316,76.4682,Natural Landscapes & Wildlife,4.8,0,Wildlife,26580,3.168078555,November to April,High,Mathanga Hill is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.613615711,89
Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,11.8358457,93.0451011,Natural Landscapes & Wildlife,4.8,0,Wildlife,26284,3.164870457,November to April,High,Bharatpur Beach is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.612974091,90
Daman and Diu,Diu,DMC market,20.718628,70.987048,Shopping & Markets,5.0,0,Urban,28092,3.304465868,October to March,High,DMC market is a highly recommended urban destination with an excellent overall experience.,0.29,3.595893174,91
Madhya Pradesh,Ujjain,Rumi ka Mazaar,23.1793,75.784912,Cultural & Heritage Sites,5.0,0,Urban,28091,3.30445503,October to March,High,Rumi ka Mazaar is a highly recommended urban destination with an excellent overall experience.,0.29,3.595891006,92
Uttarakhand,Uttarkashi,Shakti temple,30.7289819,78.4416864,Religious & Spiritual Pilgrimages,5.0,0,Religious,28002,3.303490433,October to March,High,Shakti temple is a highly recommended religious destination with an excellent overall experience.,0.29,3.595698087,93
Kerala,Kochi,Chottanikara Bhagvathy Temple,9.9771685,76.2773228,Religious & Spiritual Pilgrimages,5.0,0,Religious,27436,3.297356028,October to March,High,Chottanikara Bhagvathy Temple is a highly recommended religious destination with an excellent overall experience.,0.29,3.594471206,94
Uttarakhand,Rishikesh,Kunjapuri Devi,30.10271,78.185053,Religious & Spiritual Pilgrimages,5.0,0,Religious,27409,3.297063398,October to March,High,Kunjapuri Devi is a highly recommended religious destination with an excellent overall experience.,0.29,3.59441268,95
Madhya Pradesh,Gwalior,National Chambal Ghariyal Wildlife Sanctuary,26.7659469,78.6448794,Natural Landscapes & Wildlife,4.3,1800,Wildlife,4938,2.633518883,November to April,Medium,National Chambal Ghariyal Wildlife Sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.593370443,96
West Bengal,Kolkata,Alipore Zoological Gardens,22.5646081,88.3432645,Natural Landscapes & Wildlife,4.3,25,Wildlife,4892,2.633020327,November to April,Medium,Alipore Zoological Gardens is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.593270732,97
Uttar Pradesh,Noida,Okhla Bird Sanctuary,28.5593695,77.309886,Natural Landscapes & Wildlife,4.3,30,Wildlife,4783,2.631838966,November to April,Medium,Okhla Bird Sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.59303446,98
Uttarakhand,Nainital,Cave garden,29.39215,79.44534,Natural Landscapes & Wildlife,4.3,60,Wildlife,4751,2.631492145,November to April,Medium,Cave garden is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.592965096,99
Jammu and Kashmir,Srinagar,Sinthan top,33.5811029,75.5102349,Natural Landscapes & Wildlife,4.7,0,Wildlife,25972,3.101488948,November to April,High,Sinthan top is a highly recommended wildlife destination with an excellent overall experience.,0.415,3.59279779,100
Gujrat,Junagadh,Sakkarbaug Zoological Park,21.5247475,70.4700532,Natural Landscapes & Wildlife,4.3,20,Wildlife,4669,2.630603415,November to April,Medium,Sakkarbaug Zoological Park is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.59278735,101
Uttarakhand,Haridwar,Rajaji National Park,30.01542,78.1523984,Natural Landscapes & Wildlife,4.3,150,Wildlife,4662,2.630527548,November to April,Medium,Rajaji National Park  is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.592772176,102
Madhya Pradesh,Bhopal,Van Vihar National park,23.232214,77.3664318,Natural Landscapes & Wildlife,4.3,20,Wildlife,4655,2.630451681,November to April,Medium,Van Vihar National park is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.592757003,103
Uttarakhand,Dehradun,Malsi Deer park,30.3883325,78.0756051,Natural Landscapes & Wildlife,4.3,20,Wildlife,4639,2.63027827,November to April,Medium,Malsi Deer park is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.592722321,104
Kerala,Munnar,Eravikulam National Park,10.0596918,77.064076,Natural Landscapes & Wildlife,4.3,125,Wildlife,4628,2.63015905,November to April,Medium,Eravikulam National Park is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.592698477,105
Madhya Pradesh,Jabalpur,Balancing Rock formations,23.855,79.544,Natural Landscapes & Wildlife,4.3,100,Wildlife,4349,2.627135201,November to April,Medium,Balancing Rock formations is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.592093707,106
