item_id,popular_destination,city,state,latitude,longitude,synthetic_review,google_rating_norm,popularity_score_norm,estimated_visits_norm,sentiment_score_norm,experience_score_norm,price_fare_norm,place_category_Beach,place_category_Religious,place_category_Urban,place_category_Wildlife,interest_Adventure & Outdoor,interest_Adventure & Outdoor Activities,"interest_Adventure & Outdoor Activities, Natural Landscapes & Wildlife","interest_Adventure & Outdoor Activities, Sightseeing & Exploration","interest_Adventure & Outdoor Activities,Sightseeing & Exploration","interest_Arts, Science & Literature Attractions","interest_Arts, Science & Literature Attractions, Cultural & Heritage Sites","interest_Arts, Science & Literature Attractions, Sightseeing & Exploration","interest_Culinary & Food Experiences, Shopping & Markets",interest_Cultural & Heritage,interest_Cultural & Heritage Sites,"interest_Cultural & Heritage Sites, Arts, Science & Literature Attractions","interest_Cultural & Heritage Sites, Natural Landscapes & Wildlife","interest_Cultural & Heritage Sites, Religious & Spiritual Pilgrimages","interest_Cultural & Heritage Sites, Shopping & Markets","interest_Cultural & Heritage Sites, Sightseeing & Exploration",interest_Natural Landscapes & Wildlife,"interest_Natural Landscapes & Wildlife, Adventure & Outdoor Activities","interest_Natural Landscapes & Wildlife, Adventure & Outdoor Activities, Sightseeing & Exploration","interest_Natural Landscapes & Wildlife, Beach","interest_Natural Landscapes & Wildlife, Religious & Spiritual Pilgrimages","interest_Natural Landscapes & Wildlife, Sightseeing & Exploration","interest_Natural Landscapes & Wildlife,Adventure & Outdoor Activities,  Sightseeing & Exploration",interest_Religious & Spiritual Pilgrimages,"interest_Religious & Spiritual Pilgrimages, Cultural & Heritage Sites","interest_Religious & Spiritual Pilgrimages, Natural Landscapes & Wildlife","interest_Religious & Spiritual Pilgrimages, Sightseeing & Exploration",interest_Shopping & Markets,"interest_Shopping & Markets, Arts, Science & Literature Attractions",interest_Sightseeing & Exploration,"interest_Sightseeing & Exploration, Cultural & Heritage Sites","interest_Sightseeing & Exploration, Natural Landscapes & Wildlife",interest_Sports & Recreation,crowd_level_High,crowd_level_Low,crowd_level_Medium,best_season_to_visit_November to April,best_season_to_visit_October to March,state_Andaman and Nicobar Islands,state_Andhra Pradesh,state_Arunachal Pradesh,state_Assam,state_Bihar,state_Chhattisgarh,state_Daman and Diu,state_Delhi,state_Goa,state_Gujarat,state_Gujrat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Karanataka,state_Karnataka,state_Kerala,state_Ladakh,state_Madhya Pradesh,state_Maharahtra,state_Maharashtra,state_Maharastra,state_Meghalaya,state_Nagaland,state_Odisha,state_Puducherry,state_Punjab,state_Rajasthan,state_Sikkim,state_Tamil Nadu,state_Telangana,state_Tripura,state_Uttar Pradesh,state_Uttarakhand,state_West Bengal
10,Paradise beach and island,Puducherry,Puducherry,11.9415915,79.8083133,Paradise beach and island is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11915856286756737,0.12029433779499824,1.0,0.14868177122330895,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11,Mangrove creeks,Baratang Island,Andaman and Nicobar Islands,10.7448873,92.4999918,Mangrove creeks is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.1191482777481766,0.12017876012680523,1.0,0.1486796439565289,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,Nachiketa lake,Uttarkashi,Uttarakhand,30.6447151,78.4708143,Nachiketa lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.1191081168789569,0.11972745685100389,1.0,0.14867133742838565,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13,Cubbon Park,Bangalore,Karnataka,12.9494158,77.5846805,Cubbon Park is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11906305837472217,0.11922111659034873,1.0,0.14866201787823027,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Ubbalamadugu falls,Chennai,Tamil Nadu,13.6041974,80.2561119,Ubbalamadugu falls is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.1190522834963488,0.11910003522367033,1.0,0.14865978929522927,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15,Seven Sisters waterfall,Gangtok,Sikkim,27.44375253,88.60777208,Seven Sisters waterfall is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11902926446265433,0.11884136139485735,1.0,0.1486550282740295,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
16,Dublar Char island,Sundarbans,West Bengal,21.7728061,89.5591963,Dublar Char island is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.1190116328681465,0.11864322824938359,1.0,0.1486513814975976,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,Srisailam Wildlife sanctuary,Srisailam,Andhra Pradesh,16.0737457,78.8726842,Srisailam Wildlife sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11900967378702706,0.11862121345544208,1.0,0.14865097627944623,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Kotka beach,Sundarbans,West Bengal,21.8449338,89.7960898,Kotka beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11900624542895982,0.1185826875660444,1.0,0.1486502672060971,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,Kusum Sarovar,Mathura,Uttar Pradesh,27.511932,77.4786939,Kusum Sarovar is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11899693987272333,0.11847811729482213,1.0,0.14864834252502646,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
20,Balaramgadi beach,Balasore,Odisha,21.4727,86.8798117,Balaramgadi beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11899253195150183,0.11842858400845369,1.0,0.14864743081923534,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,Khasada waterfall,Berhampur,Odisha,19.2558881,83.9811665,Khasada waterfall is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11897930827821551,0.11827998414934837,1.0,0.1486446957485946,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
22,Chilika lake,Puri,Odisha,19.8449627,85.8257455,Chilika lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11896804364085956,0.11815339908418457,1.0,0.1486423658493726,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23,Kovalam Beach,Thiruvanthapuram,Kerala,8.4698623,76.9554858,Kovalam Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11894355528502823,0.11787821415991548,1.0,0.14863730092624242,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Nakki Lake,Mount Abu,Rajasthan,26.2978267,73.0180132,Nakki Lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11886029494750416,0.11694258541740049,1.0,0.14862008006609512,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
25,Trishul Peak,Auli,Uttarakhand,30.3116666,79.7766666,Trishul Peak is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11885735634841954,0.11690956322648821,1.0,0.14861947226223438,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
26,Darjeeling Rock garden,Darjeeling,West Bengal,27.0262862,88.236347,Darjeeling Rock garden is a highly recommended wildlife destination with an excellent overall experience.,1.0000000000000002,0.12584923579454405,0.01266951391334977,0.5460674162211843,0.14835208464182614,0.0008,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27,Sewaro Rock garden,Pelling,Sikkim,27.3158029,88.1898361,Sewaro Rock garden is a highly recommended wildlife destination with an excellent overall experience.,1.0000000000000002,0.12583503255810347,0.012509906657273686,0.5460674162211843,0.148349146985476,0.0016,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
28,Teesta river(rafting),Darjeeling,West Bengal,26.57695557,89.01279803,Teesta river(rafting) is a highly recommended wildlife destination with an excellent overall experience.,1.0000000000000002,0.125706223912173,0.011062433955618177,0.5460674162211843,0.14832250530568494,0.04,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29,Ghatarani waterfalls,Raipur,Chhattisgarh,20.8280625,82.0598125,Ghatarani waterfalls is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.13412825629974456,0.13617250792532581,0.5460674162211843,0.14772781717557015,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Raima valley,Agartala,Tripura,23.5638643,91.6760691,Raima valley  is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.1340513629193724,0.1353084272631208,0.5460674162211843,0.1477119132393653,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
31,Limestone Caves,Baratang Island,Andaman and Nicobar Islands,10.7448873,92.4999918,Limestone Caves is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.13404744480232256,0.13526439767523776,0.5460674162211843,0.1477111028497952,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Chitrakote Falls,Bastar,Chhattisgarh,19.2071733,81.7000604,Chitrakote Falls is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.134005814610966,0.13479658330398028,0.5460674162211843,0.14770249241972155,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,Living Root Bridge,Cherrapunji,Meghalaya,25.4670308,91.366216,Living Root Bridge is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.13399259093767965,0.13464798344487497,0.5460674162211843,0.14769975734908078,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
34,Aryapalli beach,Berhampur,Odisha,19.3149618,84.2332104,Aryapalli beach is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.13394459378917126,0.1341086209933075,0.5460674162211843,0.14768983004179725,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,Chorabari lake,Kedarnath,Uttarakhand,30.066753,79.0192997,Chorabari lake is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.13389708644483447,0.13357476224022544,0.5460674162211843,0.1476800040040021,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
36,Dassam falls,Ranchi,Jharkhand,23.1462515,85.4672203,Dassam falls  is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.13382704978059673,0.1327877333568158,0.5460674162211843,0.14766551821449558,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,Barracuda bay(fishing),Chennai,Tamil Nadu,13.0826802,80.2707184,Barracuda bay(fishing) is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.1338241111815121,0.13275471116590348,0.5460674162211843,0.1476649104573674,0.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
38,Drass Valley,Kargil,Ladakh,34.4100265,75.6602598,Drass Valley is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.1338221521455817,0.13273269637196197,0.5460674162211843,0.14766450523921607,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Mt Japfu,Kohima,Nagaland,25.5975011,94.0666664,Mt Japfu is a highly recommended wildlife destination with an excellent overall experience.,0.9782608695652176,0.13381088750822576,0.13260611130679817,0.5460674162211843,0.14766217538672666,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40,Jaldapara National Park,Siliguri,West Bengal,26.6905136,89.2805351,Jaldapara National Park is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.10955325913094735,0.012355803099682988,1.0,0.14669509299056568,0.02,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
